Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ALLO,"Allogene Therapeutics Inc",1.13,-0.05,-4.24%,1.18,1.2,1.11,3344200,2025-08-29
ALMS,"Alumis Inc",4.64,-0.06,-1.28%,4.75,4.76,4.57,325100,2025-08-29
ALMU,"Aeluma Inc",22.79,1.41,+6.59%,21.63,23.36,20.43,213500,2025-08-29
ALNT,"Allient Inc",45.38,-1.95,-4.12%,47.4,47.6,45.02,133900,2025-08-29
ALRM,Alarm.com,58.63,-0.12,-0.20%,58.83,59.38,57.97,363000,2025-08-29
ALRS,"Alerus Financial Corp",22.27,-0.01,-0.04%,22.4,22.48,22.16,49700,2025-08-29
ALT,"Altimmune Inc",3.83,0.12,+3.23%,3.72,3.86,3.66,2752200,2025-08-29
ALTG,"Alta Equipment Group Inc",8.34,0.13,+1.58%,8.25,8.35,7.99,320000,2025-08-29
ALTI,"Alti Global Inc",4.33,-0.06,-1.37%,4.38,4.54,4.26,163700,2025-08-29
ALX,"Alexander's Inc",230.34,-0.13,-0.06%,230.68,232.84,226.89,28000,2025-08-29
AMAL,"Amalgamated Financial Corp",28.89,-0.22,-0.76%,29.16,29.35,28.85,161500,2025-08-29
AMBA,"Ambarella Inc",82.48,11.85,+16.78%,83.5,93.44,80.8,7163400,2025-08-29
AMBC,"Ambac Financial Group",9.03,0.02,+0.22%,9.07,9.1,8.9,644500,2025-08-29
AMBP,"Ardagh Metal Packaging S.A.",3.69,0.05,+1.37%,3.65,3.7,3.64,689000,2025-08-29
AMC,"AMC Entertainment Holdings",2.81,-0.02,-0.71%,2.84,2.85,2.8,7039500,2025-08-29
AMCX,"AMC Networks Cl A",7.06,0,0.00%,7.04,7.07,6.92,364500,2025-08-29
AMLX,"Amylyx Pharmaceuticals Inc",9.38,-0.04,-0.42%,9.45,9.55,9.18,1675800,2025-08-29
AMN,"Amn Healthcare Services Inc",20.78,0.73,+3.64%,20.08,20.885,20.08,1062900,2025-08-29
AMPH,"Amphastar Pharma",30.62,0.36,+1.19%,30.21,30.81,30.18,290900,2025-08-29
AMPL,"Amplitude Inc Cl A",11.43,-0.29,-2.47%,11.7,11.84,11.38,1341600,2025-08-29
AMPX,"Amprius Technologies Inc",7.09,-0.29,-3.93%,7.36,7.36,6.7814,4671300,2025-08-29
AMR,"Alpha Metallurgical Resources Inc",149.19,3.31,+2.27%,145.65,150.35,145.65,231400,2025-08-29
AMRC,"Ameresco Inc",25.43,0.14,+0.55%,25.41,25.9,24.98,430300,2025-08-29
AMRK,"A-Mark Precious Meta",23.41,0.44,+1.92%,23.1,23.41,22.88,127400,2025-08-29
AMRX,"Amneal Pharmaceuticals Inc",9.56,0.01,+0.10%,9.58,9.59,9.41,2493900,2025-08-29
AMSC,"Amer Superconductor",49.9,-3.94,-7.32%,53.66,53.66,49.74,1108900,2025-08-29
AMSF,"Amerisafe Inc",46.18,0.24,+0.52%,46.09,46.38,45.94,53400,2025-08-29
AMTB,"Mercantil Bank Holding Cl A",21.5,0,0.00%,21.57,21.675,21.45,125300,2025-08-29
AMWD,"Amer Woodmark Corp",64.57,-0.44,-0.68%,65.06,65.3,63.78,115100,2025-08-29
ANAB,"Anaptysbio Inc",20.33,0.2,+0.99%,20.1,20.51,19.85,322600,2025-08-29
ANDE,"Andersons Inc",40.9,0.07,+0.17%,40.83,41.32,40.58,184700,2025-08-29
ANF,"Abercrombie & Fitch Company",93.53,-2.99,-3.10%,97.07,97.2,92.12,2191000,2025-08-29
ANGI,"Angi Inc",17.72,0.17,+0.97%,17.53,17.82,17.34,361400,2025-08-29
ANGO,"Angiodynamics Inc",10.26,0.13,+1.28%,10.13,10.3,10.03,470800,2025-08-29
ANIK,"Anika Therapeutics",9.38,0.15,+1.63%,9.24,9.54,9.1,194500,2025-08-29
ANIP,"ANI Pharma Inc",93.5,0.97,+1.05%,93,93.72,91.97,283200,2025-08-29
ANNX,"Annexon Inc",2.06,-0.06,-2.83%,2.12,2.14,2.05,1019800,2025-08-29
AOMR,"Angel Oak Mortgage REIT Inc",9.86,0.16,+1.65%,9.72,9.865,9.695,249600,2025-08-29
AORT,"Artivion Inc",43.93,0.12,+0.27%,43.92,44.085,43.43,342900,2025-08-29
AOSL,"Alpha and Omega Semi",28.77,-1.15,-3.84%,29.69,29.77,28.42,230100,2025-08-29
AOUT,"American Outdoor Brands Inc",10.44,-0.12,-1.14%,10.6,10.68,10.43,43900,2025-08-29
APAM,"Artisan Partners Asset Mgmt",46.79,-0.37,-0.78%,47.19,47.21,46.585,289800,2025-08-29
APEI,"American Public Education",30.18,-0.37,-1.21%,30.55,30.56,29.99,152800,2025-08-29
APGE,"Apogee Therapeutics Inc",36.37,-0.25,-0.68%,36.65,37.35,35.68,516600,2025-08-29
APLD,"Applied Digital Corp",15.98,-0.62,-3.73%,16.91,17.29,15.57,28060900,2025-08-29
APLE,"Apple Hospitality REIT Inc",13.06,-0.01,-0.08%,13.07,13.11,12.965,3816200,2025-08-29
APOG,"Apogee Entrpr Inc",43.97,-0.12,-0.26%,44.1,44.2,43.48,146400,2025-08-29
APPN,"Appian Corp Cl A",30.78,0.07,+0.23%,30.8,31.17,30.63,639900,2025-08-29
APPS,"Digital Turbine",4.2,-0.06,-1.41%,4.26,4.31,4.13,1850000,2025-08-29
AQST,"Aquestive Therapeutics Inc",3.77,-0.06,-1.57%,3.83,3.87,3.73,1036200,2025-08-29
ARAY,"Accuray Inc",1.52,-0.04,-2.56%,1.56,1.56,1.52,556100,2025-08-29
ARCB,"Arcbest Corp",73.76,0.6,+0.82%,73.64,74.74,72.69,184700,2025-08-29
ARCT,"Arcturus Therapeutics Ltd",17.01,-0.29,-1.68%,17.03,17.36,16.65,523400,2025-08-29
ARDT,"Ardent Health Inc",12.69,0.16,+1.28%,12.48,12.725,12.41,179700,2025-08-29
ARDX,"Ardelyx Inc",6.36,-0.02,-0.31%,6.4,6.4,6.24,2372600,2025-08-29
AREN,"The Arena Group Holdings Inc",5.9,-0.3,-4.84%,6.19,6.22,5.87,181500,2025-08-29
ARHS,"Arhaus Inc Cl A",11.73,-0.02,-0.17%,11.77,11.78,11.56,1791900,2025-08-29
ARI,"Apollo Commercial Real Estate",10.59,0.14,+1.34%,10.48,10.605,10.44,1073700,2025-08-29
